Country,Latitude,Longitude,Date,confirmed,recovered,Deaths,active_cases,new_cases,new_deaths
Germany,51.165690999999995,10.451526,2020-06-11,186691,170961,8772,15730,169.0,20.0
Germany,51.165690999999995,10.451526,2020-06-12,187226,171535,8783,15691,535.0,11.0
Germany,51.165690999999995,10.451526,2020-06-13,187267,171970,8793,15297,41.0,10.0
Germany,51.165690999999995,10.451526,2020-06-14,187518,172089,8801,15429,251.0,8.0
Germany,51.165690999999995,10.451526,2020-06-15,187682,172692,8807,14990,164.0,6.0
Germany,51.165690999999995,10.451526,2020-06-16,188252,172842,8820,15410,570.0,13.0
Germany,51.165690999999995,10.451526,2020-06-17,188604,173599,8851,15005,352.0,31.0
Germany,51.165690999999995,10.451526,2020-06-18,189817,173847,8875,15970,1213.0,24.0
Germany,51.165690999999995,10.451526,2020-06-19,190299,173972,8887,16327,482.0,12.0
Germany,51.165690999999995,10.451526,2020-06-20,190670,174609,8895,16061,371.0,8.0
Germany,51.165690999999995,10.451526,2020-06-21,191272,174740,8895,16532,602.0,0.0
Germany,51.165690999999995,10.451526,2020-06-22,191768,175143,8899,16625,496.0,4.0
Germany,51.165690999999995,10.451526,2020-06-23,192480,175825,8914,16655,712.0,15.0
Germany,51.165690999999995,10.451526,2020-06-24,192871,176422,8928,16449,391.0,14.0
Germany,51.165690999999995,10.451526,2020-06-25,193371,176764,8940,16607,500.0,12.0
Germany,51.165690999999995,10.451526,2020-06-26,194036,177149,8965,16887,665.0,25.0
Germany,51.165690999999995,10.451526,2020-06-27,194458,177518,8968,16940,422.0,3.0
Germany,51.165690999999995,10.451526,2020-06-28,194693,177657,8968,17036,235.0,0.0
Germany,51.165690999999995,10.451526,2020-06-29,195042,177770,8976,17272,349.0,8.0
Germany,51.165690999999995,10.451526,2020-06-30,195418,178100,8990,17318,376.0,14.0
Germany,51.165690999999995,10.451526,2020-07-01,195893,179100,8995,16793,475.0,5.0
Germany,51.165690999999995,10.451526,2020-07-02,196370,179800,9006,16570,477.0,11.0
Germany,51.165690999999995,10.451526,2020-07-03,196780,180300,9010,16480,410.0,4.0
Germany,51.165690999999995,10.451526,2020-07-04,197198,181000,9020,16198,418.0,10.0
Germany,51.165690999999995,10.451526,2020-07-05,197523,181719,9023,15804,325.0,3.0
Germany,51.165690999999995,10.451526,2020-07-06,198064,182160,9022,15904,541.0,-1.0
Germany,51.165690999999995,10.451526,2020-07-07,198343,182661,9032,15682,279.0,10.0
Germany,51.165690999999995,10.451526,2020-07-08,198699,183153,9046,15546,356.0,14.0
Germany,51.165690999999995,10.451526,2020-07-09,199001,183728,9057,15273,302.0,11.0
Germany,51.165690999999995,10.451526,2020-07-10,199332,184028,9063,15304,331.0,6.0
Germany,51.165690999999995,10.451526,2020-07-11,199709,184266,9070,15443,377.0,7.0
Germany,51.165690999999995,10.451526,2020-07-12,199919,184414,9071,15505,210.0,1.0
Germany,51.165690999999995,10.451526,2020-07-13,200180,185100,9074,15080,261.0,3.0
Germany,51.165690999999995,10.451526,2020-07-14,200456,185100,9078,15356,276.0,4.0
Germany,51.165690999999995,10.451526,2020-07-15,200890,186000,9080,14890,434.0,2.0
Germany,51.165690999999995,10.451526,2020-07-16,201450,186400,9087,15050,560.0,7.0
Germany,51.165690999999995,10.451526,2020-07-17,202045,186900,9088,15145,595.0,1.0
Germany,51.165690999999995,10.451526,2020-07-18,202426,187200,9091,15226,381.0,3.0
Germany,51.165690999999995,10.451526,2020-07-19,202735,187400,9092,15335,309.0,1.0
Germany,51.165690999999995,10.451526,2020-07-20,203325,188070,9094,15255,590.0,2.0
Germany,51.165690999999995,10.451526,2020-07-21,203717,188221,9099,15496,392.0,5.0
Germany,51.165690999999995,10.451526,2020-07-22,204276,188628,9102,15648,559.0,3.0
Germany,51.165690999999995,10.451526,2020-07-23,204881,189140,9110,15741,605.0,8.0
Germany,51.165690999999995,10.451526,2020-07-24,205623,189696,9120,15927,742.0,10.0
Germany,51.165690999999995,10.451526,2020-07-25,206278,189919,9124,16359,655.0,4.0
Germany,51.165690999999995,10.451526,2020-07-26,206667,190055,9124,16612,389.0,0.0
